"city","category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url","moved_place_id"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","afterhours cafe","台北市松山區延壽街117-1號","https://www.facebook.com/afterhourscafe/?fref=ts","Afterhours Cafe","延壽街117-1號","ChIJw60mGpKrQjQRrXJCDGvTmys","https://maps.google.com/?cid=3142337621741695661&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","惡老闆咖啡","114台北市內湖區江南街19號","","惡老闆咖啡","江南街19號","ChIJfWd9WWOsQjQRVSqMPJ5NnvQ","https://maps.google.com/?cid=17626611333590690389&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Insomnia coffee ","台北市內湖區洲子街112點","愛爾蘭失眠咖啡","愛爾蘭失眠咖啡-lnsomnia Coffee","洲子街112號","ChIJvcfd-mStQjQR_UWWLNzRkls","https://maps.google.com/?cid=6598567147622254077&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","BEANS & BEATS","105台北市松山區富錦街346號","https://m.facebook.com/beansnbeats","BEANS & BEATS","富錦街346號1樓","ChIJ5z10hPKrQjQRSN4R9-9nlLk","https://maps.google.com/?cid=13372427473909833288&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","Little Green Cafe & Health Studio","台北市中山區玉門街1號","","Little Green Cafe & Health Studio","玉門街1號","ChIJD1miSnupQjQRHZQBy_QkhXw","https://maps.google.com/?cid=8972618466402079773&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","THE NORMAL 敦北店","105台北市松山區敦化北路50巷17號1樓","","NORMAL COFFEE 敦北店","敦化北路50巷17號1樓","ChIJP_CuPJqrQjQR2_Yz2MnvFQQ","https://maps.google.com/?cid=294405000857384667&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","蘭空咖啡VOEZ Café","台北市信義區東興路45號一樓","https://www.facebook.com/RayarkConcept/","VOEZ Café 蘭空咖啡","1F45號東興路","ChIJmQOFDparQjQR_wI5mXFckHs","https://maps.google.com/?cid=8903718106283180799&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","HOFFE CAFE 花博店","台北市中山區玉門街1號","","HOFFE CAFE 花博店","玉門街1號","ChIJjb9rE0-pQjQR6nfH0Q6O1n0","https://maps.google.com/?cid=9067591094057269226&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","斑果咖啡 Bengal Cafe' （豹貓貓咖啡、簡餐、貓咪旅館）","22064新北市板橋區實踐路93巷3號","","斑果咖啡 Bengal Cafe' （豹貓貓咖啡、簡餐、貓咪旅館）","實踐路93巷3號","ChIJpwqY6aACaDQRAYpN149CgqQ","https://maps.google.com/?cid=11854110354752506369&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","加利利小鎮咖啡館","247新北市蘆洲區三民路98巷15號","","加利利小鎮咖啡館","三民路98巷15號","ChIJR3D_WnypQjQRsxi__DUOSLA","https://maps.google.com/?cid=12702418374034921651&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","路燈咖啡 - Light Café公館店","台北市中正區羅斯福路三段244巷10弄19號","https://www.facebook.com/%E8%B7%AF%E7%87%88%E5%92%96%E5%95%A1-Light-Caf%C3%A9%E5%85%AC%E9%A4%A8%E5%BA%97-524026160951680/","路燈咖啡 公館店","羅斯福路三段244巷10弄19號","ChIJF5aWSI6pQjQR-VPDlaFXodk","https://maps.google.com/?cid=15681911728994735097&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","小路上。Dear Deer（已歇業）","台北市大安區羅斯福路二段77巷7號1-3F","https://www.facebook.com/deardeer2012/","小路上藝文空間","羅斯福路二段77巷7號","ChIJvZwdvJqpQjQRLy___ScLGtU","https://maps.google.com/?cid=15355598145866116911&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","哈瓦那咖啡廳 美麗華店","台北市中山區敬業三路20號2樓","","哈瓦那咖啡廳 美麗華店","敬業三路20號2樓","ChIJi3LTUBKsQjQRVnvpJvxdi0k","https://maps.google.com/?cid=5299432724097497942&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",""
