"city","category","reason","business_status","name","address","source_url","google_match_name","google_match_address","google_place_id","google_maps_url"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","咖樂烘豆colorroast","台北市大安區延吉街68號-16號","https://www.facebook.com/pg/%E5%92%96%E6%A8%82%E7%83%98%E8%B1%86colorroast-1641570899442432/about/?ref=page_internal","咖樂烘豆","延吉街68-16號","ChIJ34QOJ8SrQjQR6KV0XblHlnw","https://maps.google.com/?cid=8977441768672110056&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","季安咖啡廳","台北市大同區迪化街一段72巷16號","https://www.instagram.com/alliswell.cafe/","季安咖啡 All is Well Coffee","迪化街一段72巷16號","ChIJib5T9uqpQjQRaYn8g69JsdU","https://maps.google.com/?cid=15398169619138906473&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","尚合咖啡","新北市中和區景平路597號","https://www.facebook.com/sunhurcoffee/","尚合咖啡","景平路597號","ChIJMQSQCdapQjQRx56UchQ4tnc","https://maps.google.com/?cid=8626143796747607751&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","帕卡遜 percussion caf'e","新北市板橋區文化路一段47號","https://www.facebook.com/percussioncafe/","帕卡遜 percussion caf’e","文化路一段47號","ChIJ1VjQeRyoQjQRDiPAo-0uLbA","https://maps.google.com/?cid=12694854522816701198&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","彼得好咖啡","新北市新莊區新泰路109號","https://www.facebook.com/pbcoffee/","彼得好咖啡 新莊新泰店 Peter Better Cafe","242新北市新莊區新泰路109號","ChIJvU_YVXSoQjQRgP8cRwNZBPQ","https://maps.google.com/?cid=17583276715774115712&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","怡客咖啡 公保店","100台北市中正區青島西路13號","","怡客咖啡 公保店","青島西路13號","ChIJCyzJrXOpQjQR8VhicqRfyKw","https://maps.google.com/?cid=12450306329764059377&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google Places businessStatus = CLOSED_PERMANENTLY","CLOSED_PERMANENTLY","怡客咖啡行天宮捷運店","台北市中山區松江路277號1樓","","怡客咖啡","松江路267號","ChIJ_5UgGkOpQjQRAdcNhq_T8j8","https://maps.google.com/?cid=4607978119575230209&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","承繼","105台北市松山區敦化北路244巷17號","","秉軒廚業有限公司","105臺北市松山區敦化北路244巷17號","ChIJUbws9O-rQjQRbdnQDa_jPfk",""
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","拎咖啡","247新北市蘆洲區民族路341號","","T.T Cafe","民族路341號","ChIJw7nfB-6vQjQRHYeGCi9LFm8",""
"taipei","suspected_closed","Google matched a different active business at the same address","OPERATIONAL","放空自我咖啡館","115台北市南港區富康街30號1樓","https://www.facebook.com/emptybrainpark","『 放空自我“場租“咖啡廳 』line：370qdmxh","富康街30號1樓","ChIJ-Rw09_-rQjQRsCbDzQlbREU",""
